"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"BAŞER TAŞ EV","@basertasev","+905327256511","",""
"HES BUNGALOV EVLERİ","@hesbungalov","+905370565427","",""
"ADALİFE BUNGALOV","adalifebungalov","05355554144","",""
"SAPANCA GOLDEN LİFE SUİT BUNGALOV","sapancagoldenlifebungalov","05058105454","",""
"SAPANCA DAİSY BUNGALOW","sapancadaisybungalow","05464263454","",""
"REYYAN BAHÇE  LİDYA BUNGALOVS","sapancalidyabungalows","05434796442","",""
"ROOMY TİNY HOUSE","roomytinyhouse","05327859680","",""
"NT SAPANCA BUNGALOV","@sapancant","+905330765394","",""
"SAPANCA LOTUS BUNGALOW","@sapancalotusbungalow","+905325862808","",""
"ORLİN BUNGALOV","sapancaorlinbungalov","905382744354","",""
"NATURAL LIFE BUNGALOWS","@sapancanaturalbungalows","+905322265550","",""
"SAPANCA ROYAL BUNGALOV","@sapancaroyalbungalov","+905339611334","",""
"DERİN HOUSE SAPANCA","derinhousesapanca","05540181854","",""
"TWİN BİRDS SAPANCA","twinbirdsapanca","05339179500","",""
"SAPANCA PİNE LİFE","sapancapinelife","05491227463","",""
"AHENK BUNGALOW SAPANCA","@sapancaahenkbungalow","+905536851253","",""
"SAPANCA TRİO BUNGALOV","sapancatriobungalow","05050425454","",""
"MY GORGEUS SAPANCA","@mygorgeoussapanca","+905464846802","",""
"BUNGALOV KEYİF","bungalovkeyif","05011555454","",""
"777 SAPANCA","@777sapanca","+905336045477","",""
"SAPANCA HİDALAL BUNGALOV","sapancahidalalbungalov","05377264130","",""
"SAPANCA BEKA BUNGALOV","@sapancabekabungalov","+905074193409","",""
"SAPANCA OTTO SUİT BUNGALOV","ottosuitbungalovsapanca","05313036886","",""
"GOLDEN LUXURY BUNGALOV SAPANCA","@glbsapanca","+905419005400","",""
"ALİS PARADİSE BUNGALOV","alisparadisebungalov","05496915400","",""
"UMAY BUNGALOV","@umaybungalov","+905353027554","",""
"NİOS BUNGALOV SAPANCA","niosbungalovsapanca","05364989997","",""
"LAVİNİA BUNGALOW","laviniabungalowsapanca","05377775848","",""
"ALP'İN BUNGALOV SAPANCA","alpin.bungalovsapanca","05541282746","",""
"SİMA BUNGALOV SAPANCA","simabungalovsapanca","05521413454","",""
"VG BUNGALOW SAPANCA","@vgbungalovsapanca","+905360359080","",""
"SAPANCA COCO SERENİTY BUNGALOV","sapancacocoserenitybungalov","05419704154","",""
"SAPANCA ES BUNGALOV","@es_bungalov","+905433895466","",""
"RİVA SAPANCA","rivasapanca","05070193998","",""
"SAPANCA AYZA BUNGALOV","sapanca_ayza.bungalov","05320522820","",""
"ZK WOODEN VİLLAGE","zkwoodenvillage","05309107654","",""
"SAPANCA NATURAL HOUSE","sapancanaturalhouse","05423545483","",""
"JUNO BUNGALOVMAJALİS BUNGALOV","junobungalovsapanca","05356378370","",""
"ARMONİ LİFE BUNGALOV","armonilifebungalov","05313582584","",""
"SAPANCA EFENDY SUİT 2","efendysuit","05426530492","",""
"SAPANCA MAVİ YEŞİL BUNGALOV","sapancamaviyesilbungalov","05336337782","",""
"ESKİ OCAK DAĞ EVİ","@sapancaeskiocakdagevi","+908503074705","",""
"LA PALMA BUNGALOV","@lapalmabungalov","+905301721557","",""
"ÇİFTLİK BUNGALOV & RESTAURANT","sapancaciftlikbungalov","08503088418","",""
"SAPANCA DRAGOS BUNGALOW","@sapancadragosbungalow","+905350122168","",""
"SAPANCA FOUR SEASONS BUNGALOV","@sapancafourseasons","+905307941046","",""
"SAPANCA DRONE","@sapancadrone","+905323365822","",""
"SAPANCA DOA BUNGALOVS","@sapancadoabungalovs","+905308491464","",""
"HARTOMA SAPANCA BUNGALOV","@hartomasapancabungalov","+905011264648","",""
"SAPANCA VİVA LA VİDA DAĞ EVİ","sapancavivalavida_dagevi","05386432077","",""
"GMA FAMİLY VİLLA & BUNGALOV","gmafamilyvillabungalov","05316676856","",""
